model_variant,segment,days,hourly_accuracy_percent,hourly_wape_percent,daily_accuracy_percent,daily_wape_percent,daily_bias_percent
base_rule_d6,validation,31,88.86166237241203,11.138337627587974,89.84867152277101,10.15132847722899,1.1479424140811327
base_rule_d6,test,37,23.76666855135501,76.23333144864499,23.79303216203529,76.20696783796471,19.80190859397659
holiday_router,validation,31,84.39183656694746,15.608163433052544,85.33323036709263,14.66676963290737,-5.502532187335088
holiday_router,test,37,72.25226728109509,27.747732718904917,73.33438893815269,26.665611061847315,7.3178523694893
