model_variant,split,year_month,segment,days,hourly_accuracy_percent,hourly_wape_percent,daily_accuracy_percent,daily_wape_percent,daily_bias_percent
base_rule_d6,validation,2026-01,month,31,88.86166237241203,11.138337627587974,89.84867152277101,10.15132847722899,1.1479424140811327
base_rule_d6,test,2026-02,month,28,11.820694660126762,88.17930533987324,11.863689429213892,88.13631057078611,68.43858057602662
base_rule_d6,test,2026-03,month,9,42.70335336678356,57.29664663321644,42.70335336678356,57.29664663321644,-57.29664663321644
holiday_router,validation,2026-01,month,31,84.39183656694746,15.608163433052544,85.33323036709263,14.66676963290737,-5.502532187335088
holiday_router,test,2026-02,month,28,63.54861923273427,36.45138076726573,64.46906362777003,35.530936372229974,19.663285800732098
holiday_router,test,2026-03,month,9,86.04923698293348,13.950763017066523,87.38764844780471,12.612351552195298,-12.252053267836988
