sample_id,site_id,site_name,city_cn,issue_date,target_date,target_refined_date_type,hour,actual_load,predicted_load
all_equivalent5_ext_20260309,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-03,2026-03-09,workday_w0,12,,1.2882890929489297
all_equivalent5_ext_20260309,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-03,2026-03-09,workday_w0,13,,0.9879755477696397
all_equivalent5_ext_20260309,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-03,2026-03-09,workday_w0,14,,0.41056163159304226
all_equivalent5_ext_20260309,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-03,2026-03-09,workday_w0,15,,0.39270427912083467
all_equivalent5_ext_20260309,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-03,2026-03-09,workday_w0,16,,0.4254691285315755
all_equivalent5_ext_20260309,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-03,2026-03-09,workday_w0,17,,0.38224346608744303
all_equivalent5_ext_20260309,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-03,2026-03-09,workday_w0,18,,0.4369504673768229
all_equivalent5_ext_20260309,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-03,2026-03-09,workday_w0,19,,0.9417846923182014
all_equivalent5_ext_20260309,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-03,2026-03-09,workday_w0,20,,1.061582259804417
all_equivalent5_ext_20260309,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-03,2026-03-09,workday_w0,21,,0.7469644277342862
all_equivalent5_ext_20260309,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-03,2026-03-09,workday_w0,22,,0.6675067896281901
all_equivalent5_ext_20260309,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-03,2026-03-09,workday_w0,23,,0.5613519145500612
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,0,,1.81396022213164
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,1,,1.1743907959869557
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,2,,0.9081358210181822
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,3,,0.6797446095945492
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,4,,0.6398848901762475
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,5,,0.7876065200322804
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,6,,1.0846695833260471
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,7,,1.2393206743940228
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,8,,0.692015047997192
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,9,,0.6572594175684023
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,10,,0.323249242193999
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,11,,0.3803609824999786
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,12,,1.2607482996565706
