model_variant,segment,days,hourly_accuracy_percent,hourly_wape_percent,daily_accuracy_percent,daily_wape_percent,daily_bias_percent
base_rule_d6,validation,31,85.89407480486926,14.105925195130736,92.22067559543007,7.77932440456994,-4.887229196754868
base_rule_d6,test,35,63.387531057604676,36.612468942395324,66.52089995562307,33.47910004437694,9.851838450936933
holiday_router,validation,31,86.46156964863584,13.53843035136416,92.70597013277339,7.294029867226616,-3.835613519225192
holiday_router,test,35,78.40484222051836,21.595157779481642,85.93568388368477,14.064316116315222,11.141248461272344
